country;pays;A nation with its own government, occupying a particular territory;Territoire d'une nation, délimité par des frontières
there;là;In, at, or to that place or position;À ce moment
car;voiture;A road vehicle, typically with four wheels, powered by an internal combustion engine and able to carry a small number of people;Véhicule monté sur roues, tiré ou poussé par un animal, un homme
about;à propos;On the subject of, concerning; Ce qui vient opportunément
boat;bateau;A small vessel for travelling over water, propelled by oars, sails, or an engine;Construction flottante destinée à la navigation
house;maison;A building for human habitation, especially one that consists of a ground floor and one or more upper storeys;Bâtiment d'habitation (immeuble, logement, résidence) conçu pour un seul ou un petit nombre de foyers
other;autre;Used to refer to a person or thing that is different or distinct from one already mentioned or known about;Qui n'est pas le même
word;mot;A single distinct meaningful element of speech or writing, used with others (or sometimes alone) to form a sentence and typically shown with a space on either side when written or printed;Chacun des sons ou groupes de sons (de lettres ou groupes de lettres) correspondant à un sens isolable spontanément, dans le langage
can;pouvoir;To be able to;Avoir la possibilité de (faire qqch.)
write;écrire;Mark (letters, words, or other symbols) on a surface, typically paper, with a pen, pencil, or similar implement;Tracer (des signes d'écriture, un ensemble organisé de ces signes)
first;premier;Coming before all others in time or order;Qui vient avant les autres, dans un ordre
water;eau;A colourless, transparent, odourless liquid that forms the seas, lakes, rivers, and rain and is the basis of the fluids of living organisms;Liquide naturel, inodore, incolore et transparent quand il est pur
after;après;In the time following;Derrière
where;où;In or to what place or position;Dans un lieu (indiqué ou suggéré par l'antécédent)
right;exact;True or correct as a fact;Entièrement conforme à la réalité, à la vérité
think;penser;Have a particular belief or idea;Appliquer son esprit à concevoir, à juger qqch
three;trois;Equivalent to the sum of one and two;Deux plus un
year;année;The time taken by the earth to make one revolution around the sun;emps d'une révolution de la Terre autour du Soleil (365 jours 1/4)
place;endroit;A particular position, point, or area in space, a location;Partie déterminée d'un espace
sound;son;Vibrations that travel through the air or another medium;Qui appartient, est relatif à la personne ou la chose dont il est question
